(536,672,2)
(52,532,2)
(910,407,2)
(897,557,2)
(123,428,2)
(366,521,2)
(627,568,2)
(446,185,2)
(954,289,2)
(540,816,2)
(595,169,2)
(808,473,1)
(507,465,2)
(49,273,1)
(994,571,2)
(175,152,2)
(85,51,2)
(101,830,2)
(677,346,2)
(352,709,2)
(572,76,2)
(51,423,2)
(941,122,2)
(404,416,2)
(816,520,2)
(183,439,2)
(923,411,2)
(127,65,2)
(414,485,2)
(878,81,2)
(765,603,2)
(504,517,2)
(313,415,2)
(744,268,2)
(398,422,2)
(92,110,2)
(69,176,2)
(913,89,1)
(168,214,2)
(571,634,1)
(69,603,2)
(521,525,1)
(686,473,2)
(650,325,2)
(950,721,2)
(286,992,2)
(840,889,2)
(593,511,2)
(56,64,2)
(671,106,2)
(803,676,2)
(178,93,2)
(422,227,2)
(671,371,2)
(919,262,2)
(415,551,2)
(287,118,2)
(92,771,2)
(226,752,2)
(207,205,2)
(969,235,2)
(121,698,2)
(659,170,2)
(656,555,2)
(31,76,2)
(172,158,2)
(534,348,2)
(33,929,1)
(542,90,2)
(43,601,2)
(836,132,1)
(486,71,2)
(866,226,2)
(497,910,2)
(712,951,2)
(504,191,2)
(371,722,2)
(617,254,2)
(577,203,2)
(841,303,2)
(80,598,2)
(890,429,2)
(673,437,2)
(395,876,2)
(979,324,2)
(802,735,2)
(322,137,2)
(377,627,2)
(67,102,2)
(380,850,2)
(336,997,2)
(872,268,2)
(19,809,2)
(27,617,2)
(706,945,2)
(447,456,2)
(115,571,2)
(99,974,2)
(167,991,2)
(136,130,2)
(762,54,2)
(694,294,2)
(59,166,2)
(73,286,2)
(364,178,2)
(139,343,2)
(867,562,2)
(272,476,2)
(550,120,2)
(137,265,2)
(742,104,2)
(779,727,1)
(446,757,2)
(774,946,2)
(937,658,2)
(760,908,2)
(837,247,2)
(987,716,1)
(261,596,2)
(455,740,2)
(836,485,2)
(360,60,2)
(141,730,2)
(294,292,2)
(715,237,2)
(984,721,2)
(220,925,2)
(459,3,2)
(632,17,2)
(282,929,2)
(112,180,2)
(470,924,2)
(759,841,2)
(242,68,2)
(378,2,2)
(647,486,2)
(99,407,2)
(772,630,1)
(180,606,2)
(653,656,2)
(791,799,2)
(373,90,2)
(149,734,2)
(14,454,2)
(936,247,2)
(662,37,2)
(739,535,2)
(639,408,2)
(463,715,2)
(772,110,2)
(149,87,2)
(870,84,2)
(196,251,2)
(218,30,2)
(67,530,2)
(909,497,2)
(406,853,2)
(35,298,2)
(351,171,1)
(832,144,2)
(466,561,1)
(215,443,2)
(360,326,2)
(96,577,1)
(35,463,2)
(295,432,2)
(442,930,2)
(807,598,2)
(168,509,1)
(812,439,2)
(53,304,2)
(657,932,2)
(595,624,2)
(780,388,2)
(577,12,1)
(902,459,2)
(792,897,2)
(914,284,2)
(407,173,2)
(208,1,2)
(599,155,2)
(16,900,2)
(219,818,2)
(500,523,2)
(578,179,2)
(474,552,2)
(928,207,2)
(958,944,2)
(313,296,1)
(235,502,2)
(346,885,2)
(362,700,2)
(712,909,2)
(426,645,2)
(184,875,2)
(515,6,2)
(419,397,2)
(934,631,2)
(556,312,1)
(760,78,2)
(583,23,2)
(481,2,1)
(837,142,2)
(100,552,2)
(240,924,1)
(144,137,2)
(304,228,2)
(739,479,2)
(402,674,2)
(494,291,2)
(292,200,2)
(587,295,2)
(323,324,2)
(21,34,2)
(635,475,2)
(645,369,2)
(649,679,2)
(673,938,2)
(526,305,2)
(915,88,2)
(901,26,2)
(953,963,1)
(25,713,2)
(950,97,2)
(368,566,2)
(542,788,2)
(626,70,2)
(35,106,2)
(401,862,2)
(159,119,2)
(352,974,2)
(321,301,2)
(288,861,2)
(663,192,2)
(658,782,2)
(484,24,2)
(18,579,2)
(897,391,2)
(874,392,2)
(238,782,2)
(100,374,2)
(413,698,2)
(867,112,2)
(457,376,2)
(487,564,2)
(292,745,1)
(356,530,2)
(709,624,2)
(42,773,2)
(376,299,2)
(978,967,2)
(448,274,1)
(572,292,2)
(83,473,2)
(717,766,2)
(521,59,2)
(907,708,2)
(224,667,2)
(146,620,2)
(482,107,2)
